.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,trait,site
value,Crushed glass,Soil,20,20,-0.34886033382857223,0.7271941655271893,1,ns,hypo_length,CP
value,100% Sargassum (SG),25% SG,20,20,5.485896386202077,4.113779826701977e-8,4.113779826701977e-7,****,hypo_length,PR
value,100% Sargassum (SG),75% SG,20,20,4.055148446432534,5.01024738889899e-5,5.01024738889899e-4,***,hypo_length,PR
value,100% Sargassum (SG),Crushed glass,20,20,4.390352249464255,1.1316718819928386e-5,1.1316718819928386e-4,***,hypo_length,PR
value,100% Sargassum (SG),Soil,20,20,3.714494175058833,2.036105595716011e-4,0.002036105595716011,**,hypo_length,PR
value,25% SG,75% SG,20,20,-1.430747939769543,0.1525024683298107,1,ns,hypo_length,PR
value,25% SG,Crushed glass,20,20,-1.095544136737822,0.27327832018499476,1,ns,hypo_length,PR
value,25% SG,Soil,20,20,-1.7714022111432437,0.07649384116939806,0.7649384116939806,ns,hypo_length,PR
value,75% SG,Crushed glass,20,20,0.33520380303172104,0.737471353422221,1,ns,hypo_length,PR
value,75% SG,Soil,20,20,-0.34065427137370075,0.7333638677895646,1,ns,hypo_length,PR
value,Crushed glass,Soil,20,20,-0.6758580744054218,0.4991307586982573,1,ns,hypo_length,PR
value,100% Sargassum (SG),25% SG,20,20,3.2950652036545334,9.83988452849279e-4,0.00983988452849279,**,total_height,OC
value,100% Sargassum (SG),75% SG,20,20,-0.005450893637146095,0.9956508376615801,1,ns,total_height,OC
value,100% Sargassum (SG),Crushed glass,20,20,2.3030025616940284,0.021278698962503315,0.21278698962503315,ns,total_height,OC
value,100% Sargassum (SG),Soil,20,20,2.8698954999571735,0.004106074745244258,0.04106074745244258,*,total_height,OC
value,25% SG,75% SG,20,20,-3.3005160972916796,9.650717717558782e-4,0.009650717717558783,**,total_height,OC
value,25% SG,Crushed glass,20,20,-0.9920626419605048,0.32116696880929496,1,ns,total_height,OC
value,25% SG,Soil,20,20,-0.42516970369735974,0.6707129679662223,1,ns,total_height,OC
value,75% SG,Crushed glass,20,20,2.3084534553311746,0.020973928774457872,0.20973928774457873,ns,total_height,OC
value,75% SG,Soil,20,20,2.8753463935943198,0.0040358446506058125,0.040358446506058125,*,total_height,OC
value,Crushed glass,Soil,20,20,0.566892938263145,0.5707869222489081,1,ns,total_height,OC
value,100% Sargassum (SG),25% SG,20,20,3.5648416432185592,3.6407593715549427e-4,0.0036407593715549426,**,total_height,CP
value,100% Sargassum (SG),75% SG,20,20,0.27526682413231973,0.7831112507648496,1,ns,total_height,CP
value,100% Sargassum (SG),Crushed glass,20,20,2.2593682891652795,0.023860485250254977,0.23860485250254976,ns,total_height,CP
value,100% Sargassum (SG),Soil,20,20,1.940494839427839,0.05231958073714241,0.523195807371424,ns,total_height,CP
value,25% SG,75% SG,20,20,-3.2895748190862393,0.0010033887630946806,0.010033887630946805,*,total_height,CP
value,25% SG,Crushed glass,20,20,-1.3054733540532797,0.1917317146611666,1,ns,total_height,CP
value,25% SG,Soil,20,20,-1.62434680379072,0.10430181349874201,1,ns,total_height,CP
