species,treatment_name,time_period,n_records,mean_total_height_cm,sd_total_height_cm,mean_branches,sd_branches,mean_AGR_cm_per_TP,sd_AGR_cm_per_TP,mean_RGR_per_TP,sd_RGR_per_TP
RHMA,Crushed glass (CG),4,60,39.87416666666667,5.155476696848838,0.06666666666666667,0.36204066943878505,1.779166666666667,1.6510472194652557,0.044224920370820785,0.03687948049483502
RHMA,Crushed glass (CG),5,60,40.4625,5.073173253931584,0.13333333333333333,0.46819765008810393,0.588333333333333,1.6218415633153496,0.014976921749049152,0.03822932138328529
RHMA,Crushed glass (CG),6,60,40.42333333333333,4.890577819893001,0.16666666666666666,0.5261522196019802,-0.039166666666667044,1.351053940970689,-4.1294557851736526e-4,0.0338897661075217
RHMA,3:1 CG to SG,0,60,21.405,5.312997334646998,0,0,NA,NA,NA,NA
RHMA,3:1 CG to SG,1,60,25.291666666666668,5.5198345488182605,0,0,3.8866666666666667,2.9972567495292872,0.1722064819012297,0.13299800833466757
RHMA,3:1 CG to SG,2,60,32.64322033898305,7.063227122332125,0.03389830508474576,0.2603778219616477,7.211864406779661,3.552650042732196,0.24793283714540307,0.10867372739792902
RHMA,3:1 CG to SG,3,60,35.9551724137931,6.916809486932823,0.03389830508474576,0.2603778219616477,3.191379310344827,1.9986209704253772,0.0980398201180254,0.07582732884670847
RHMA,3:1 CG to SG,4,60,37.81440677966102,7.19148233513126,0.13333333333333333,0.5030977485864634,2.180172413793104,1.9752623555519757,0.06124423959023379,0.06080782050506083
RHMA,3:1 CG to SG,5,60,39.35677966101695,7.147603032191008,0.3898305084745763,0.7882094320092583,1.5423728813559323,1.6873212180983803,0.04138205402539371,0.045882640721226484
RHMA,3:1 CG to SG,6,60,39.91016949152542,7.006061289937701,0.5932203389830508,1.0358844974189867,0.5533898305084746,1.5787889402405357,0.015543675890035618,0.04454520842490491
RHMA,1:3 CG to SG,0,60,16.1475,4.130974615170909,0,0,NA,NA,NA,NA
RHMA,1:3 CG to SG,1,60,19.8825,4.554908183412925,0,0,3.735,1.969111044376306,0.21344837842758796,0.12227965525404524
RHMA,1:3 CG to SG,2,60,26.982142857142858,6.020060620137464,0,0,6.616964285714285,3.2666395964732247,0.2778321879638333,0.12921111793163975
RHMA,1:3 CG to SG,3,60,29.117592592592594,6.633328921861517,0,0,1.9175925925925923,2.1080966423598797,0.06470542165235042,0.07652261299098316
RHMA,1:3 CG to SG,4,60,32.41136363636364,5.637817320893185,0.045454545454545456,0.30151134457776363,1.77906976744186,1.4709582460706612,0.05933605105630305,0.04804710488420889
RHMA,1:3 CG to SG,5,60,34.93488372093023,5.517165150299659,0.08333333333333333,0.3683941988065036,2.145348837209303,2.262421110265989,0.06328647962442796,0.06356854328517546
RHMA,1:3 CG to SG,6,60,35.51973684210526,4.355418176988727,0.2631578947368421,0.8280295897022492,0.29210526315789376,2.0544456185139124,0.011539792798039662,0.05768722674236768
RHMA,Sargassum only (SG),0,60,24.856666666666666,4.387940587436213,0,0,NA,NA,NA,NA
RHMA,Sargassum only (SG),1,60,28.399166666666666,4.611532078099927,0,0,3.5425,2.613083524970944,0.13530764919594956,0.10275954394248647
RHMA,Sargassum only (SG),2,60,36.664545454545454,4.988418742329231,0,0,7.790000000000001,3.1304715063152786,0.24008693143390133,0.09993473684447537
RHMA,Sargassum only (SG),3,60,37.854464285714286,5.771294771899616,0.05357142857142857,0.4008918628686366,1.4690909090909081,3.2847077059922265,0.037426887009378317,0.11901255202440564
RHMA,Sargassum only (SG),4,60,40.48490566037736,4.851908673850984,0.07547169811320754,0.4318589782188334,1.786792452830189,1.8903639999348378,0.044703564588037814,0.050376805085781476
RHMA,Sargassum only (SG),5,60,42.62019230769231,5.4747751284770265,0.17307692307692307,0.6779772061109673,1.8903846153846156,2.5385081009487056,0.0435630764411998,0.05332226253743536
