Date,treatment,n,mean,se
2025-03-19,Crushed glass,4,39,0.408248290463863
2025-03-19,25% SG,4,38.833333333333336,0.28867513459481325
2025-03-19,75% SG,4,38,0
2025-03-19,100% SG,4,38.75,0.25
2025-03-26,Soil,4,38.583333333333336,0.3435921354681388
2025-03-26,Crushed glass,4,38.5,0.3191423692521131
2025-03-26,25% SG,4,38.416666666666664,0.2499999999999998
2025-03-26,75% SG,4,39.333333333333336,0.23570226039551584
2025-03-26,100% SG,4,38.5,0.8660254037844386
2025-04-03,Soil,4,39.5,0.28867513459481325
2025-04-03,Crushed glass,4,39.333333333333336,0.36004114991154706
2025-04-03,25% SG,4,39.083333333333336,0.3695592971013908
2025-04-03,75% SG,4,39.5,0.21516574145596729
2025-04-03,100% SG,4,39.33333333333333,0.23570226039551584
2025-04-09,Soil,4,38.5,0.16666666666666607
2025-04-09,Crushed glass,4,38.08333333333333,0.5159493228057422
2025-04-09,25% SG,4,39.083333333333336,0.4383259399460963
2025-04-09,75% SG,4,39,0.3600411499115476
2025-04-09,100% SG,4,39.33333333333333,0.4513354669242197
2025-04-15,Soil,4,41.166666666666664,0.28867513459481287
2025-04-15,Crushed glass,4,41.5,0.4409585518440982
2025-04-15,25% SG,4,39.25,1.4930394055974097
2025-04-15,75% SG,4,40.58333333333333,0.4166666666666664
2025-04-15,100% SG,4,40.41666666666667,0.2097176232019651
