Comparison,Z,P.unadj,P.adj
12 - 2,0.37884005500526174,0.704806640919066,1
13 - 2,0.9954705538929689,0.31950745880114234,1
14 - 2,0.3500393490691896,0.7263091671353725,1
15 - 2,-2.653357344315605,0.007969544995857709,1
16 - 2,-1.1187966536705094,0.26322689962540796,1
17 - 2,-0.534659258915808,0.592885498454871,1
18 - 2,-1.7834283291183375,0.07451660514890387,1
19 - 2,-0.8256202368340788,0.40901955180817956,1
1 - 20,0.9799624814658529,0.32710463885645447,1
10 - 20,0.8507285445732197,0.39492016291069226,1
11 - 20,0.8957758025757947,0.3703725158491307,1
12 - 20,0.7621109878468425,0.4459937654480453,1
13 - 20,1.3787414867345495,0.16797447333262763,1
14 - 20,0.7333102819107703,0.46336920535876286,1
15 - 20,-2.2700864114740242,0.02320234063526118,1
16 - 20,-0.7355257208289286,0.46201938138541804,1
17 - 20,-0.15138832607422734,0.8796693977725589,1
18 - 20,-1.4001573962767568,0.16146619056911782,1
19 - 20,-0.44234930399249806,0.6582364581624595,1
2 - 20,0.38327093284158076,0.7015188889965465,1
1 - 3,0.6055533042969093,0.5448114182204375,1
10 - 3,0.47631936740427605,0.6338468695852626,1
11 - 3,0.5213666254068511,0.6021113963170257,1
12 - 3,0.38770181067789894,0.6982367156747331,1
13 - 3,1.004332309565606,0.31521846520568303,1
14 - 3,0.35890110474182674,0.7196690731509323,1
15 - 3,-2.6444955886429677,0.008181277309138608,1
16 - 3,-1.1099348979978723,0.26702708101452977,1
17 - 3,-0.5257975032431709,0.5990289094789908,1
18 - 3,-1.7745665734457003,0.075969480606907,1
19 - 3,-0.8167584811614417,0.4140664634609195,1
2 - 3,0.008861755672637157,0.9929294345100756,1
20 - 3,-0.37440917716894356,0.7080999162677075,1
1 - 4,-0.3330543173633006,0.7390932820488796,1
10 - 4,-0.46228825425593384,0.6438746215845103,1
11 - 4,-0.41724099625335875,0.6765021415279329,1
12 - 4,-0.550905810982311,0.5816982437763075,1
13 - 4,0.06572468790539616,0.9475970167998096,1
14 - 4,-0.5797065169183832,0.5621125478576003,1
15 - 4,-3.5831032103031775,3.3953637127833017e-4,0.06451191054288273
16 - 4,-2.048542519658082,0.04050687026366449,1
17 - 4,-1.4644051249033807,0.1430832886712109,1
18 - 4,-2.7131741951059105,0.006664206451675663,1
19 - 4,-1.7553661028216516,0.0791967062659582,1
2 - 4,-0.9297458659875727,0.35250268074368113,1
20 - 4,-1.3130167988291535,0.18917728761625774,1
3 - 4,-0.93860762166021,0.34793223819234864,1
1 - 5,0.6040763450181363,0.5457928856369996,1
10 - 5,0.47484240812550305,0.6348993034198079,1
11 - 5,0.5198896661280782,0.6031404783564012,1
12 - 5,0.38622485139912593,0.6993301502111393,1
13 - 5,1.0028553502868331,0.3159306582983424,1
14 - 5,0.3574241454630538,0.720774303493495,1
15 - 5,-2.645972547921741,0.008145642666718815,1
16 - 5,-1.1114118572766452,0.2663911108159812,1
17 - 5,-0.5272744625219439,0.5980030057161299,1
18 - 5,-1.7760435327244735,0.0757257422020091,1
19 - 5,-0.8182354404402146,0.4132227620203016,1
2 - 5,0.007384796393864164,0.9941078385277633,1
20 - 5,-0.37588613644771657,0.707001547522762,1
3 - 5,-0.0014769592787729922,0.9988215574229766,1
4 - 5,0.9371306623814369,0.3486913507658321,1
1 - 6,0.3301003988057546,0.7413241019020388,1
10 - 6,0.20086646191312138,0.8408029927172636,1
11 - 6,0.24591371991569644,0.8057490229483635,1
12 - 6,0.11224890518674423,0.9106260534248782,1
13 - 6,0.7288794040744514,0.4660754343601793,1
14 - 6,0.08344819925067207,0.9334951646665005,1
15 - 6,-2.9199484941341223,0.0035008924130531444,0.6651695584800974
16 - 6,-1.385387803489027,0.16593391837169277,1
17 - 6,-0.8012504087343256,0.4229866938902719,1
18 - 6,-2.0500194789368553,0.04036253001606239,1
19 - 6,-1.0922113866525962,0.27474019871658073,1
2 - 6,-0.26659114981851756,0.7897839705248667,1
20 - 6,-0.6498620826600983,0.5157813125821384,1
3 - 6,-0.2754529054911547,0.7829683027388544,1
4 - 6,0.6631547161690552,0.5072314703595162,1
